st_tefferr2,st_raderr2,st_teff,pl_trandep,pl_orbpererr1,st_raderr1,pl_radeerr2,pl_insol,pl_trandeperr2,pl_insolerr1,st_tefferr1,pl_insolerr2,pl_trandeperr1,pl_orbper,pl_eqt,pl_orbpererr2,dec,ra,st_rad,pl_rade,pl_radeerr1,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
-117.0,-0.103,5854.0,511.7,1.585e-05,0.154,-0.27,89.61,-6.3,38.12,105.0,-22.92,6.3,13.57078281,785.0,-1.585e-05,44.337551,300.86398,1.012,2.64,0.4,CONFIRMED,Kepler,2.608695652173913,81.22222222222223
-115.0,-0.142,5779.0,192.4,1.406e-05,0.157,-0.23,233.31,-4.4,94.86,104.0,-70.6,4.4,7.12594387,997.0,-1.406e-05,46.276241,287.88733,1.087,1.79,0.26,CONFIRMED,Kepler,1.6467341306347747,43.72727272727273
-201.0,-0.1,6108.0,24446.0,7.02e-07,0.301,-1.58,206.78,-37.8,195.52,183.0,-61.76,37.8,7.442652004,967.0,-7.02e-07,49.733742,288.98682,0.956,15.03,4.73,FALSE POSITIVE,Kepler,15.721757322175732,646.7195767195768
-82.0,-0.029,4126.0,1127.1,5.219e-05,0.027,-0.1,8.35,-42.0,1.49,82.0,-1.35,42.0,16.38489988,433.0,-5.219e-05,49.97575,286.73804,0.615,2.0,0.09,CONFIRMED,Kepler,3.252032520325203,26.835714285714282
-82.0,-0.029,4126.0,1306.1,1.493e-05,0.027,-0.11,22.18,-37.7,3.97,82.0,-3.59,37.7,7.8774163,553.0,-1.493e-05,49.97575,286.73804,0.615,2.16,0.09,CONFIRMED,Kepler,3.51219512195122,34.644562334217504
-82.0,-0.029,4126.0,1122.3,0.0001809,0.027,-0.09,2.88,-53.4,0.51,82.0,-0.47,53.4,36.4454001,332.0,-0.0001809,49.97575,286.73804,0.615,1.99,0.09,CONFIRMED,Kepler,3.2357723577235773,21.01685393258427
-149.0,-0.07,5497.0,5226.5,9.36e-07,0.164,-0.52,258.34,-18.5,162.58,166.0,-65.21,18.5,3.728732147,1023.0,-9.36e-07,50.054119,290.78574,0.809,6.02,1.22,CONFIRMED,Kepler,7.441285537700864,282.5135135135135
-163.0,-0.095,5446.0,6256.0,0.0001139,0.116,-0.91,11.29,-230.0,5.67,179.0,-3.57,230.0,40.4195037,467.0,-0.0001139,50.080231,294.31686,0.781,7.51,1.12,CANDIDATE,Kepler,9.615877080665813,27.2
-91.0,-0.033,4149.0,821.7,2.67e-06,0.03,-0.12,107.6,-25.6,21.47,82.0,-20.32,25.6,2.243380573,822.0,-2.67e-06,50.149818,285.17621,0.564,1.99,0.1,CONFIRMED,Kepler,3.5283687943262416,32.09765625
-173.0,-0.16,5746.0,14489.0,2.515e-06,0.241,-1.95,113.94,-22.4,90.01,173.0,-45.01,22.4,10.405998015,833.0,-2.515e-06,50.241001,289.23553,0.924,11.23,2.92,FALSE POSITIVE,Kepler,12.153679653679653,646.8303571428572
-79.0,-0.028,5005.0,971.2,1.951e-06,0.055,-0.09,311.16,-13.7,69.46,79.0,-40.17,13.7,2.337437946,1070.0,-1.951e-06,50.23035,293.83331,0.765,2.34,0.17,CONFIRMED,Kepler,3.0588235294117645,70.89051094890512
-79.0,-0.028,5005.0,556.4,1.617e-05,0.055,-0.71,68.63,-44.1,15.32,79.0,-8.86,44.1,7.2406612,734.0,-1.617e-05,50.23035,293.83331,0.765,19.45,1.4,CANDIDATE,Kepler,25.424836601307188,12.616780045351472
-115.0,-0.142,5779.0,23.2,4.729e-05,0.157,-0.07,617.61,-3.4,251.11,104.0,-186.88,3.4,3.43591631,1272.0,-4.729e-05,46.276241,287.88733,1.087,0.55,0.08,CANDIDATE,Kepler,0.5059797608095676,6.823529411764706
-91.0,-0.051,3688.0,2804.5,1.407e-05,0.037,-0.29,5.82,-46.3,1.49,73.0,-1.63,46.3,11.59822233,396.0,-1.407e-05,50.28722,296.22195,0.473,2.65,0.21,CONFIRMED,Kepler,5.602536997885835,60.57235421166307
-180.0,-0.151,5992.0,2793.3,3.726e-06,0.28,-0.81,251.38,-14.9,209.1,162.0,-91.63,14.9,6.575315881,1015.0,-3.726e-06,50.321609,290.09805,0.989,5.31,1.5,CONFIRMED,Kepler,5.369059656218402,187.46979865771812
-180.0,-0.067,5485.0,3001.0,4.677e-06,0.187,-0.37,113.64,-11.5,75.31,164.0,-28.97,11.5,7.275040844,833.0,-4.677e-06,50.49456,295.45529,0.867,4.86,1.05,CONFIRMED,Kepler,5.605536332179931,260.95652173913044
-81.0,-0.034,4077.0,1219.8,4.145e-05,0.03,-0.12,5.66,-35.3,1.13,81.0,-1.06,35.3,19.27153892,393.0,-4.145e-05,50.53191,293.97336,0.56,1.93,0.1,CONFIRMED,Kepler,3.446428571428571,34.555240793201136
-81.0,-0.034,4077.0,1053.3,1.49e-05,0.03,-0.12,13.43,-39.2,2.69,81.0,-2.5,39.2,10.06524317,488.0,-1.49e-05,50.53191,293.97336,0.56,1.91,0.1,CONFIRMED,Kepler,3.410714285714285,26.86989795918367
-166.0,-0.065,5557.0,916.6,3.932e-05,0.152,-0.23,49.68,-29.1,31.16,166.0,-12.97,29.1,12.3935651,677.0,-3.932e-05,50.56778,296.02133,0.75,2.66,0.54,CONFIRMED,Kepler,3.546666666666667,31.49828178694158
-117.0,-0.103,5854.0,615.2,9.613e-05,0.154,-0.3,18.77,-7.7,7.98,105.0,-4.8,7.7,43.84439721,531.0,-9.613e-05,44.337551,300.86398,1.012,2.87,0.43,CONFIRMED,Kepler,2.8359683794466406,79.8961038961039
-159.0,-0.071,5295.0,725.3,9.953e-06,0.133,-1.89,268.67,-21.3,145.91,175.0,-70.67,21.3,3.341913228,1032.0,-9.953e-06,38.27029,292.31595,0.811,21.55,3.54,FALSE POSITIVE,Kepler,26.572133168927248,34.05164319248826
-172.0,-0.145,5735.0,1620.6,1.015e-06,0.27,-4.83,1355.88,-19.0,1105.99,155.0,-486.6,19.0,1.626630225,1547.0,-1.015e-06,38.31028,294.36819,0.973,32.43,9.0,FALSE POSITIVE,Kepler,33.32990750256938,85.29473684210525
-239.0,-0.118,6214.0,837.5,3.8e-06,0.353,-0.34,960.79,-14.5,931.74,174.0,-309.76,14.5,2.711504086,1420.0,-3.8e-06,38.494659,291.65353,1.076,3.12,1.02,CONFIRMED,Kepler,2.899628252788104,57.758620689655174
-239.0,-0.118,6214.0,950.4,1.553e-05,0.353,-0.36,260.58,-19.5,252.7,174.0,-84.01,19.5,7.21203748,1025.0,-1.553e-05,38.494659,291.65353,1.076,3.32,1.09,CONFIRMED,Kepler,3.085501858736059,48.738461538461536
-168.0,-0.065,5799.0,459.9,0.0001643,0.333,-0.14,60.35,-51.9,67.75,161.0,-14.34,51.9,14.1798187,711.0,-0.0001643,51.321671,291.0448,0.878,1.88,0.71,FALSE POSITIVE,Kepler,2.14123006833713,8.861271676300579
-159.0,-0.066,5354.0,1123.5,1.56e-05,0.113,-0.22,75.44,-26.7,35.44,159.0,-19.3,26.7,8.47237911,751.0,-1.56e-05,51.319519,296.36652,0.788,2.59,0.37,CONFIRMED,Kepler,3.2868020304568524,42.07865168539326
-159.0,-0.066,5354.0,931.3,0.0005043,0.113,-0.2,5.49,-49.6,2.58,159.0,-1.4,49.6,60.4189369,390.0,-0.0005043,51.319519,296.36652,0.788,2.36,0.34,CONFIRMED,Kepler,2.99492385786802,18.776209677419352
-173.0,-0.091,5795.0,6105.6,6.65e-06,0.273,-0.73,76.15,-27.6,66.33,156.0,-21.39,27.6,12.611904345,753.0,-6.65e-06,51.737381,289.11221,0.919,7.4,2.2,CONFIRMED,Kepler,8.052230685527748,221.2173913043478
-90.0,-0.23,6017.0,1976.3,7.41e-07,0.23,-8.0,3209.29,-20.4,1411.94,72.0,-1136.62,20.4,1.433769925,1920.0,-7.41e-07,37.728828,290.84369,1.339,46.58,8.01,FALSE POSITIVE,Kepler,34.78715459297984,96.87745098039215
-193.0,-0.137,5927.0,871.7,2.846e-05,0.319,-3.69,139.26,-26.4,125.69,176.0,-46.77,26.4,10.31872301,876.0,-2.846e-05,37.713501,291.84891,1.06,28.59,8.61,FALSE POSITIVE,Kepler,26.971698113207545,33.0189393939394
-74.0,-0.14,5519.0,382.1,5.073e-06,0.154,-0.28,743.09,-11.4,290.34,82.0,-212.44,11.4,2.539183147,1332.0,-5.073e-06,37.905659,291.43997,1.062,2.06,0.29,CONFIRMED,Kepler,1.9397363465160076,33.51754385964912
-166.0,-0.037,5653.0,1304.0,9.537e-06,0.112,-0.15,102.87,-29.7,53.88,166.0,-21.24,29.7,6.770300385,812.0,-9.537e-06,38.273628,290.87051,0.679,2.77,0.46,CONFIRMED,Kepler,4.079528718703976,43.90572390572391
-156.0,-0.04,5255.0,10967.0,9.7e-08,0.08,-1.73,2706.26,-45.9,1149.42,156.0,-599.58,45.9,0.444291966,1836.0,-9.7e-08,38.28492,290.99689,0.636,27.51,3.46,FALSE POSITIVE,Kepler,43.25471698113208,238.93246187363835
