pl_trandeperr2,dec,pl_orbpererr1,st_rad,st_raderr1,pl_radeerr2,pl_orbper,pl_trandep,st_tefferr1,pl_insol,pl_rade,pl_insolerr1,pl_trandeperr1,pl_insolerr2,ra,st_teff,pl_eqt,pl_orbpererr2,st_raderr2,pl_radeerr1,st_tefferr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
-14.8,47.880989,8.834e-06,0.91,0.057,-0.24,5.349553819,831.0,85.0,168.99,2.55,34.66,14.8,-38.48,292.37613,5185.0,919.0,-8.834e-06,-0.086,0.16,-77.0,CONFIRMED,Kepler,2.802197802197802,56.148648648648646
-13.9,47.880989,1.094e-05,0.91,0.057,-0.16,3.94105221,363.3,85.0,253.15,1.7,51.91,13.9,-57.65,292.37613,5185.0,1018.0,-1.094e-05,-0.086,0.11,-77.0,CONFIRMED,Kepler,1.868131868131868,26.136690647482016
-16.8,47.880989,6.787e-05,0.91,0.057,-0.12,8.10904807,217.4,85.0,97.03,1.3,19.9,16.8,-22.09,292.37613,5185.0,800.0,-6.787e-05,-0.086,0.09,-77.0,CONFIRMED,Kepler,1.4285714285714286,12.94047619047619
-45.8,37.671558,0.0001369,1.58,0.064,-1.68,386.6030528,24927.0,79.0,1.84,41.5,0.26,45.8,-0.24,292.27374,5543.0,297.0,-0.0001369,-0.064,1.68,-79.0,FALSE POSITIVE,Kepler,26.265822784810126,544.2576419213974
-27.1,47.92918,7.01e-05,0.828,0.032,-0.23,21.67699193,857.2,79.0,18.64,2.95,2.78,27.1,-3.8,290.46512,4954.0,530.0,-7.01e-05,-0.065,0.12,-79.0,CONFIRMED,Kepler,3.56280193236715,31.6309963099631
-39.7,47.946671,1.389e-05,0.847,0.161,-0.23,4.99677968,934.7,175.0,166.95,2.78,102.06,39.7,-42.14,297.80826,5339.0,917.0,-1.389e-05,-0.069,0.52,-159.0,CONFIRMED,Kepler,3.282172373081464,23.544080604534006
-14.1,49.314091,6.141e-06,0.831,0.207,-0.19,4.280963604,750.8,152.0,247.87,2.3,182.24,14.1,-63.32,294.26581,5644.0,1012.0,-6.141e-06,-0.069,0.58,-169.0,CONFIRMED,Kepler,2.7677496991576414,53.248226950354606
-18.3,49.351009,4.7e-07,0.831,0.186,-0.44,1.50635409,2211.7,155.0,1054.12,4.53,703.1,18.3,-292.26,295.66522,5714.0,1452.0,-4.7e-07,-0.08,1.01,-172.0,FALSE POSITIVE,Kepler,5.451263537906137,120.85792349726775
-33.5,49.316479,0.001237,0.983,0.148,-0.71,670.645531,18091.0,100.0,0.35,14.14,0.15,33.5,-0.06,296.69861,5520.0,196.0,-0.001237,-0.049,2.13,-111.0,FALSE POSITIVE,Kepler,14.384537131230926,540.0298507462686
-70.6,49.479519,0.000156,1.091,0.35,-5.48,61.2563628,5123.3,184.0,15.43,39.87,14.85,70.6,-5.51,283.72592,6144.0,505.0,-0.000156,-0.15,12.79,-220.0,FALSE POSITIVE,Kepler,36.54445462878093,72.56798866855524
-23.4,49.480869,0.0001602,1.036,0.138,-0.34,38.3775486,724.2,82.0,18.53,2.82,6.72,23.4,-4.93,291.72202,5481.0,529.0,-0.0001602,-0.124,0.37,-74.0,CONFIRMED,Kepler,2.7220077220077217,30.948717948717952
-45.5,48.37579,9.345e-05,0.848,0.033,-0.33,41.19725502,2213.9,75.0,8.76,3.86,1.27,45.5,-1.9,286.99948,5031.0,439.0,-9.345e-05,-0.072,0.15,-83.0,CONFIRMED,Kepler,4.55188679245283,48.65714285714286
-24.5,48.37579,9.577e-06,0.848,0.033,-0.23,6.252962249,1036.9,75.0,108.3,2.65,15.73,24.5,-23.44,286.99948,5031.0,823.0,-9.577e-06,-0.072,0.1,-83.0,CONFIRMED,Kepler,3.125,42.32244897959184
-39.4,48.478588,4.854e-05,0.826,0.091,-0.31,16.01308419,1121.9,164.0,29.31,3.1,11.77,39.4,-8.24,297.02563,5015.0,593.0,-4.854e-05,-0.082,0.34,-149.0,CONFIRMED,Kepler,3.7530266343825667,28.474619289340104
-25.4,48.505859,5.801e-05,0.798,0.181,-0.33,32.62876672,1804.8,152.0,15.55,3.36,10.51,25.4,-4.18,285.71854,5586.0,506.0,-5.801e-05,-0.077,0.76,-152.0,CONFIRMED,Kepler,4.2105263157894735,71.05511811023622
-36.2,48.505859,0.0007518,0.798,0.181,-0.21,91.7732862,652.0,152.0,3.92,2.12,2.64,36.2,-1.06,285.71854,5586.0,359.0,-0.0007518,-0.077,0.48,-152.0,CONFIRMED,Kepler,2.656641604010025,18.011049723756905
-20.0,48.727589,5.15e-07,1.082,0.173,-1.46,4.959319244,9802.0,77.0,349.4,12.21,146.52,20.0,-93.21,292.16705,5712.0,1103.0,-5.15e-07,-0.13,1.96,-77.0,CONFIRMED,Kepler,11.284658040665434,490.1
-20.9,48.777321,5.634e-06,0.91,0.228,-0.75,2.701287801,860.4,182.0,527.81,6.54,411.33,20.9,-166.35,297.92365,5550.0,1222.0,-5.634e-06,-0.105,1.64,-182.0,FALSE POSITIVE,Kepler,7.186813186813187,41.16746411483254
-17.5,48.791592,1.777e-05,0.969,0.3,-0.22,4.49876511,460.0,189.0,389.62,2.1,365.71,17.5,-117.4,298.45685,6075.0,1133.0,-1.777e-05,-0.1,0.65,-210.0,CONFIRMED,Kepler,2.1671826625387,26.285714285714285
-27.7,48.933842,5.862e-06,1.063,0.336,-1.69,19.651209505,11766.0,168.0,67.03,12.42,62.46,27.7,-23.51,291.0939,6074.0,730.0,-5.862e-06,-0.144,3.92,-210.0,FALSE POSITIVE,Kepler,11.683913452492945,424.7653429602888
-4.0,46.276241,3.052e-06,1.087,0.157,-0.38,5.412203927,601.6,104.0,337.68,2.94,137.29,4.0,-102.18,287.88733,5779.0,1093.0,-3.052e-06,-0.142,0.43,-115.0,CONFIRMED,Kepler,2.704691812327507,150.4
-22.6,49.017342,7.557e-05,1.046,0.297,-0.96,41.43958662,2793.1,180.0,16.72,5.5,14.66,22.6,-6.64,295.55505,5468.0,516.0,-7.557e-05,-0.183,1.57,-164.0,CONFIRMED,Kepler,5.25812619502868,123.58849557522123
-28.2,49.277351,1.524e-05,0.787,0.169,-0.24,8.35389523,1041.6,152.0,91.9,2.52,59.06,28.2,-24.15,285.49924,5592.0,790.0,-1.524e-05,-0.073,0.54,-152.0,CONFIRMED,Kepler,3.2020330368487926,36.93617021276596
-13.3,49.253979,3.133e-06,1.103,0.358,-0.51,4.125543472,1487.3,173.0,565.35,4.43,542.47,13.3,-188.14,291.93616,6174.0,1243.0,-3.133e-06,-0.128,1.44,-239.0,CONFIRMED,Kepler,4.016319129646418,111.82706766917292
