st_teff,st_raderr2,st_tefferr1,st_tefferr2,pl_insolerr2,pl_insol,pl_radeerr1,pl_trandep,pl_eqt,st_rad,pl_orbpererr2,pl_insolerr1,pl_rade,pl_radeerr2,pl_trandeperr1,st_raderr1,pl_orbpererr1,dec,ra,pl_orbper,pl_trandeperr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
5653.0,-0.037,166.0,-166.0,-21.24,102.87,0.46,1304.0,812.0,0.679,-9.537e-06,53.88,2.77,-0.15,29.7,0.112,9.537e-06,38.273628,290.87051,6.770300385,-29.7,CONFIRMED,Kepler,4.079528718703976,43.90572390572391
5255.0,-0.04,156.0,-156.0,-599.58,2706.26,3.46,10967.0,1836.0,0.636,-9.7e-08,1149.42,27.51,-1.73,45.9,0.08,9.7e-08,38.28492,290.99689,0.444291966,-45.9,FALSE POSITIVE,Kepler,43.25471698113208,238.93246187363835
5988.0,-0.078,179.0,-197.0,-28.91,102.91,2.17,5741.1,812.0,0.836,-6.188e-06,86.75,7.73,-0.72,53.2,0.234,6.188e-06,38.241669,291.28195,10.181584004,-53.2,CANDIDATE,Kepler,9.24641148325359,107.91541353383458
3950.0,-0.04,70.0,-86.0,-0.9,4.0,0.13,1494.7,361.0,0.493,-5.839e-05,0.89,1.96,-0.16,45.1,0.033,5.839e-05,39.27832,286.07913,20.06036336,-45.1,CONFIRMED,Kepler,3.975659229208925,33.14190687361419
3950.0,-0.04,70.0,-86.0,-0.3,1.32,0.12,1394.7,273.0,0.493,-0.0002654,0.29,1.83,-0.15,56.4,0.033,0.0002654,39.27832,286.07913,46.1842039,-56.4,CONFIRMED,Kepler,3.7119675456389456,24.72872340425532
5854.0,-0.103,105.0,-117.0,-10.73,41.94,0.2,104.0,649.0,1.012,-0.0002003,17.84,1.31,-0.13,6.5,0.154,0.0002003,44.337551,300.86398,23.9800854,-6.5,CONFIRMED,Kepler,1.2944664031620554,16.0
3950.0,-0.04,70.0,-86.0,-3.19,14.05,0.08,520.8,494.0,0.493,-3.89e-05,3.1,1.2,-0.1,36.4,0.033,3.89e-05,39.27832,286.07913,7.82502168,-36.4,CONFIRMED,Kepler,2.434077079107505,14.307692307692307
5557.0,-0.069,167.0,-167.0,-64.19,241.62,1.53,8544.8,1005.0,0.774,-7.71e-07,155.31,7.34,-0.65,29.5,0.161,7.71e-07,39.308361,294.65524,3.895936525,-29.5,CONFIRMED,Kepler,9.483204134366925,289.65423728813556
5395.0,-0.052,160.0,-160.0,-4.56,19.45,0.38,986.8,536.0,0.734,-9.761e-05,10.29,2.32,-0.16,35.1,0.122,9.761e-05,39.52174,294.71063,22.36646466,-35.1,CONFIRMED,Kepler,3.1607629427792916,28.11396011396011
5539.0,-0.161,83.0,-74.0,-452.24,1467.41,1.41,7969.0,1579.0,1.106,-1.58e-07,576.36,9.73,-1.42,11.8,0.161,1.58e-07,38.422939,293.87192,1.625522174,-11.8,CONFIRMED,Kepler,8.797468354430379,675.3389830508474
