pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
342.24,408.99,-192.0,50.61824,0.54,3.689920099,-0.098,-13.8,0.262,426.7,157.0,5880.0,1147.0,291.62241,-0.2,8.982e-06,13.8,0.917,-8.982e-06,1.89,-123.32,CONFIRMED,Kepler
135.26,351.23,-77.0,51.121738,0.47,4.431238488,-0.079,-15.2,0.148,1010.9,77.0,5714.0,1104.0,295.81616,-0.25,6.106e-06,15.2,1.015,-6.106e-06,3.25,-68.33,CONFIRMED,Kepler
38.38,99.68,-77.0,51.121738,0.57,11.37936986,-0.079,-29.7,0.148,1023.5,77.0,5714.0,806.0,295.81616,-0.31,2.415e-05,29.7,1.015,-2.415e-05,3.95,-19.39,CONFIRMED,Kepler
6.07,13.49,-154.0,51.25032,0.41,26.39432897,-0.055,-36.3,0.103,1510.9,154.0,5129.0,489.0,289.39972,-0.22,5.724e-05,36.3,0.763,-5.724e-05,3.07,-3.21,CONFIRMED,Kepler
38.12,89.61,-117.0,44.337551,0.4,13.57078281,-0.103,-6.3,0.154,511.7,105.0,5854.0,785.0,300.86398,-0.27,1.585e-05,6.3,1.012,-1.585e-05,2.64,-22.92,CONFIRMED,Kepler
94.86,233.31,-115.0,46.276241,0.26,7.12594387,-0.142,-4.4,0.157,192.4,104.0,5779.0,997.0,287.88733,-0.23,1.406e-05,4.4,1.087,-1.406e-05,1.79,-70.6,CONFIRMED,Kepler
195.52,206.78,-201.0,49.733742,4.73,7.442652004,-0.1,-37.8,0.301,24446.0,183.0,6108.0,967.0,288.98682,-1.58,7.02e-07,37.8,0.956,-7.02e-07,15.03,-61.76,FALSE POSITIVE,Kepler
1.49,8.35,-82.0,49.97575,0.09,16.38489988,-0.029,-42.0,0.027,1127.1,82.0,4126.0,433.0,286.73804,-0.1,5.219e-05,42.0,0.615,-5.219e-05,2.0,-1.35,CONFIRMED,Kepler
3.97,22.18,-82.0,49.97575,0.09,7.8774163,-0.029,-37.7,0.027,1306.1,82.0,4126.0,553.0,286.73804,-0.11,1.493e-05,37.7,0.615,-1.493e-05,2.16,-3.59,CONFIRMED,Kepler
0.51,2.88,-82.0,49.97575,0.09,36.4454001,-0.029,-53.4,0.027,1122.3,82.0,4126.0,332.0,286.73804,-0.09,0.0001809,53.4,0.615,-0.0001809,1.99,-0.47,CONFIRMED,Kepler
