koi_depth_err1,koi_period,koi_period_err2,koi_depth_err2,koi_teq_err1,koi_steff_err2,koi_disposition,koi_steff_err1,koi_steff,koi_prad_err2,koi_insol_err1,koi_teq_err2,koi_teq,koi_insol_err2,koi_prad_err1,koi_srad_err2,source,koi_insol,koi_prad,koi_srad_err1,koi_depth,koi_period_err1,koi_srad
24.7,2.507089906,-2.401e-06,-24.7,0.0,-226.0,FALSE POSITIVE,184.0,5926.0,-3.19,699.82,0.0,1326.0,-230.11,9.57,-0.099,Kepler,730.47,30.26,0.297,1339.2,2.401e-06,0.939
20.9,18.64932728,-5.202e-05,-20.9,0.0,-78.0,CONFIRMED,78.0,5775.0,-0.28,22.99,0.0,701.0,-12.26,0.47,-0.094,Kepler,57.13,3.12,0.161,893.6,5.202e-05,1.053
2.9,4.90144976,-1.07e-05,-2.9,0.0,-75.0,CONFIRMED,64.0,5847.0,-0.05,84.12,0.0,1262.0,-66.83,0.08,-0.046,Kepler,598.74,1.7,0.063,140.7,1.07e-05,1.402
16.2,9.75192101,-4.829e-05,-16.2,0.0,-78.0,CONFIRMED,78.0,5775.0,-0.24,54.6,0.0,870.0,-29.09,0.43,-0.094,Kepler,135.66,2.76,0.161,418.0,4.829e-05,1.053
26.8,38.5576546,-0.0001765,-26.8,0.0,-78.0,CONFIRMED,78.0,5775.0,-0.36,8.73,0.0,550.0,-4.66,0.62,-0.094,Kepler,21.71,4.02,0.161,993.0,0.0001765,1.053
13.1,3.525632539,-1.5e-07,-13.1,0.0,-82.0,CONFIRMED,82.0,5150.0,-0.48,50.79,0.0,975.0,-29.54,0.9,-0.033,Kepler,213.12,11.58,0.062,22335.0,1.5e-07,0.793
82.5,34.84398644,-4.036e-05,-82.5,0.0,-166.0,CANDIDATE,166.0,5509.0,-0.91,11.1,0.0,511.0,-5.08,1.72,-0.105,Kepler,16.1,7.61,0.196,4523.6,4.036e-05,0.871
25.7,7.748094239,-7.553e-06,-25.7,0.0,-232.0,CONFIRMED,169.0,5973.0,-0.56,186.49,0.0,964.0,-63.82,1.7,-0.111,Kepler,204.39,5.52,0.334,2472.1,7.553e-06,1.085
46.1,23.96793669,-9.249e-05,-46.1,0.0,-83.0,CONFIRMED,75.0,3747.0,-0.15,0.58,0.0,329.0,-0.64,0.1,-0.044,Kepler,2.77,1.8,0.03,1182.3,9.249e-05,0.524
57.5,8.29561738,-2.368e-05,-57.5,0.0,-83.0,CONFIRMED,75.0,3747.0,-0.15,2.4,0.0,469.0,-2.65,0.1,-0.044,Kepler,11.39,1.82,0.03,824.3,2.368e-05,0.524
32.0,8.11437482,-1.092e-05,-32.0,0.0,-83.0,CONFIRMED,73.0,3692.0,-0.16,2.46,0.0,460.0,-2.31,0.14,-0.039,Kepler,10.55,2.1,0.035,1558.0,1.092e-05,0.517
